filename,valid_start,body_rises_early,front_knee_bad,rear_knee_bad,hip_position_bad,first_step_bad,arms_bad,split,label_confidence,review_required,comment_ru
real_001.mp4,1,1,0,0,0,1,1,train,medium,1,есть признаки раннего подъёма корпуса; есть признаки неэффективного первого шага/overstride; работа рук требует внимания.
real_002.mp4,1,0,0,0,0,0,0,train,medium,1,старт выглядит относительно чистым по доступному ракурсу.
real_003.mp4,1,0,0,0,1,0,0,train,medium,1,есть сомнение по высоте/стабильности таза.
real_004.mp4,1,1,0,0,0,1,0,train,medium,1,есть признаки раннего подъёма корпуса; есть признаки неэффективного первого шага/overstride.
real_005.mp4,1,0,0,0,0,0,0,val,medium,1,старт выглядит относительно чистым по доступному ракурсу.
real_006.mp4,1,1,0,0,0,1,1,train,medium,1,есть признаки раннего подъёма корпуса; есть признаки неэффективного первого шага/overstride; работа рук требует внимания.
real_007.mp4,1,0,1,0,0,0,0,test,medium,1,углы ног в стартовой позиции выглядят неидеально.
real_008.mp4,1,0,0,0,0,0,0,train,medium,1,старт выглядит относительно чистым по доступному ракурсу.
real_009.mp4,1,0,0,0,1,0,0,train,medium,1,есть сомнение по высоте/стабильности таза.
real_011.mp4,1,0,0,0,1,1,0,train,medium,1,есть сомнение по высоте/стабильности таза; есть признаки неэффективного первого шага/overstride.
real_012.mp4,1,0,1,1,1,0,0,train,medium,1,есть сомнение по высоте/стабильности таза; углы ног в стартовой позиции выглядят неидеально.
real_013.mp4,1,0,0,0,1,1,0,train,medium,1,есть сомнение по высоте/стабильности таза; есть признаки неэффективного первого шага/overstride.
real_014.mp4,1,0,1,0,0,0,0,test,medium,1,углы ног в стартовой позиции выглядят неидеально.
real_015.mp4,1,0,1,1,1,0,0,val,medium,1,есть сомнение по высоте/стабильности таза; углы ног в стартовой позиции выглядят неидеально.
real_016.mp4,1,0,1,0,0,0,0,train,medium,1,углы ног в стартовой позиции выглядят неидеально.
real_017.mp4,1,1,0,0,1,1,1,train,medium,1,есть признаки раннего подъёма корпуса; есть сомнение по высоте/стабильности таза; есть признаки неэффективного первого шага/overstride; работа рук требует внимания.
real_018.mp4,1,0,0,0,1,0,0,train,medium,1,есть сомнение по высоте/стабильности таза.
real_019.mp4,1,0,0,0,1,0,0,train,medium,1,есть сомнение по высоте/стабильности таза.
real_020.mp4,1,0,0,0,1,0,0,val,medium,1,есть сомнение по высоте/стабильности таза.
real_021.mp4,1,1,1,1,1,1,1,test,medium,1,есть признаки раннего подъёма корпуса; есть сомнение по высоте/стабильности таза; есть признаки неэффективного первого шага/overstride; работа рук требует внимания; углы ног в стартовой позиции выглядят неидеально.
real_022.mp4,1,0,0,0,1,0,0,train,medium,1,есть сомнение по высоте/стабильности таза.
real_023.mp4,1,1,1,1,1,1,1,train,medium,1,есть признаки раннего подъёма корпуса; есть сомнение по высоте/стабильности таза; есть признаки неэффективного первого шага/overstride; работа рук требует внимания; углы ног в стартовой позиции выглядят неидеально.
real_024.mp4,1,1,1,0,0,1,1,train,medium,1,есть признаки раннего подъёма корпуса; есть признаки неэффективного первого шага/overstride; работа рук требует внимания; углы ног в стартовой позиции выглядят неидеально.
real_025.mp4,1,0,0,0,1,0,0,val,medium,1,есть сомнение по высоте/стабильности таза.
real_035.mp4,1,0,0,0,0,0,0,test,medium,1,старт выглядит относительно чистым по доступному ракурсу.
real_036.mp4,1,1,0,0,0,1,1,train,medium,1,есть признаки раннего подъёма корпуса; есть признаки неэффективного первого шага/overstride; работа рук требует внимания.
real_037.mp4,1,1,0,0,1,1,0,train,medium,1,есть признаки раннего подъёма корпуса; есть сомнение по высоте/стабильности таза; есть признаки неэффективного первого шага/overstride.
real_038.mp4,1,1,1,0,0,1,0,train,medium,1,есть признаки раннего подъёма корпуса; есть признаки неэффективного первого шага/overstride; углы ног в стартовой позиции выглядят неидеально.
real_039.mp4,1,0,0,0,1,0,0,train,medium,1,есть сомнение по высоте/стабильности таза.
real_040.mp4,1,0,1,1,1,0,0,val,medium,1,есть сомнение по высоте/стабильности таза; углы ног в стартовой позиции выглядят неидеально.
real_041.mp4,1,0,0,0,1,0,0,train,medium,1,есть сомнение по высоте/стабильности таза.
real_042.mp4,1,1,1,0,0,1,1,test,medium,1,есть признаки раннего подъёма корпуса; есть признаки неэффективного первого шага/overstride; работа рук требует внимания; углы ног в стартовой позиции выглядят неидеально.
real_043.mp4,1,0,1,1,1,0,0,train,medium,1,есть сомнение по высоте/стабильности таза; углы ног в стартовой позиции выглядят неидеально.
real_045.mp4,1,1,1,1,1,1,1,val,medium,1,есть признаки раннего подъёма корпуса; есть сомнение по высоте/стабильности таза; есть признаки неэффективного первого шага/overstride; работа рук требует внимания; углы ног в стартовой позиции выглядят неидеально.
real_046.mp4,1,0,0,0,1,0,0,train,medium,1,есть сомнение по высоте/стабильности таза.
real_047.mp4,1,1,1,1,1,1,1,train,medium,1,есть признаки раннего подъёма корпуса; есть сомнение по высоте/стабильности таза; есть признаки неэффективного первого шага/overstride; работа рук требует внимания; углы ног в стартовой позиции выглядят неидеально.
