filename,valid_start,body_rises_early,front_knee_bad,rear_knee_bad,hip_position_bad,first_step_bad,arms_bad
GX010414 - Trim.mp4,1,0,0,0,0,0,0
GX010416 - Trim.mp4,1,0,0,0,0,0,0
GX010417 - Trim.mp4,1,0,0,1,1,0,0
GX010419 - Trim.mp4,1,0,1,1,1,0,0
GX010420 - Trim.mp4,1,0,1,1,1,0,0
GX010421 - Trim.mp4,1,0,0,0,0,0,0
GX010422 - Trim.mp4,1,0,0,0,0,0,0
GX010424 - Trim.mp4,1,0,0,0,0,1,0
GX010425 - Trim.mp4,1,0,0,0,0,0,0
GX010426 - Trim.mp4,1,0,0,0,0,0,0
GX010427 - Trim.mp4,1,0,1,1,1,0,0
GX010428 - Trim.mp4,1,1,0,0,0,1,0
GX010430 - Trim.mp4,1,1,0,0,0,1,0
GX010432 - Trim.mp4,1,0,1,1,1,0,0
strict_001_batch_01_001_100m_Block_Start_Acceleration_Block_Start_Slowmotion_Te.mp4,1,0,0,0,0,0,0
strict_002_batch_01_004_Slo_Mo_Starting_Blocks_400m_Sprinter_3.mp4,1,0,0,0,0,0,0
strict_003_batch_01_006_Christian_Coleman_Start_Breakdown_Slow_Motion_2.mp4,1,0,0,0,0,0,0
strict_004_batch_01_007_Michael_Frater_2011_World_Championships_block_start_sid.mp4,1,0,0,0,0,0,0
strict_005_batch_01_008_Carmelita_Jeter_2011_World_Championships_10m_block_star.mp4,1,0,0,0,0,0,0
strict_006_batch_01_009_200m_starting_blocks_Noah_Lyles_vs_Andre_de_Grasse_slow.mp4,1,0,0,0,0,0,0
strict_007_batch_01_012_Kalen_Walker_Slow_Motion_Block_Start_3.mp4,1,0,0,0,0,0,0
strict_008_batch_01_013_Acceleration_Day_100m_Block_Starts_Slowmotion_Technique.mp4,1,0,0,0,0,0,0
strict_009_batch_01_014_Block_Start_100m_Side_Cam_Slowmotion_Technique_sidecam_.mp4,1,0,0,0,0,0,0
strict_010_batch_01_015_Track_Starting_Blocks_Slow_Motion_Acceleration_Out_of_Y.mp4,1,0,0,0,0,0,0
strict_012_batch_02_001_Asafa_Powell_Start_1.mp4,1,0,0,0,0,0,0
strict_013_batch_02_002_Sprint_Start_Slow_Motion_Block_Start.mp4,1,0,0,0,0,0,0
strict_015_batch_04_003_christian_coleman_block_start_slow_mo.mp4,1,0,0,0,0,0,0
